DOR Code,Municipality,Fiscal Year,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernmental Assessments,Other Expenditures,Debt Service,Total Expenditures
001,ABINGTON,2019,1939565,3191481,2420298,179597,24807451,2607331,496623,638511,9309436,860443,3164,4686768,51140668
002,ACTON,2019,7614843,5212556,3369303,289593,61285774,2941918,2095290,1423801,7270250,312130,0,2256359,94071817
003,ACUSHNET,2019,1663624,2283230,461702,852091,16217139,1946695,537317,349051,3024014,233401,156266,521415,28245945
004,ADAMS,2019,1783155,1570697,13326,200718,6558649,1933169,403358,580689,2095909,42001,5289,1150280,16337240
005,AGAWAM,2019,7872090,5727305,4171339,298855,45113563,6231042,1456615,1330876,17622768,1184037,1596,2440648,93450734
006,ALFORD,2019,189837,38372,31778,17411,433904,554534,6507,7366,133081,384,0,92543,1505717
007,AMESBURY,2019,2330965,4227700,3533802,302262,32983961,3470569,1123881,843704,6172124,2875498,8855,5320338,63193659
008,AMHERST,2019,4187653,5061464,4668604,1387821,39552600,1923807,685174,3467782,9487397,3314503,0,1869898,75606703
009,ANDOVER,2019,10927210,7608960,8071413,1055221,83220970,6796666,871823,5348990,12240217,844795,489108,14314814,151790187
010,ARLINGTON,2019,6136498,8191760,7565639,503117,65792139,9077803,1218442,3894551,28816899,3272899,33028,16582686,151085461
011,ASHBURNHAM,2019,1477932,1428188,1053263,282180,8113224,1403606,113492,255367,1347859,0,123125,1823959,17422195
012,ASHBY,2019,644146,1015910,262077,411266,4034986,641737,53995,117008,812068,26045,0,0,8019238
013,ASHFIELD,2019,435965,133232,64513,108172,2561349,689731,64782,119486,158853,57756,0,73607,4467446
014,ASHLAND,2019,3814570,3498980,2376702,200386,32200985,1766007,567760,473767,9282469,621927,0,3036165,57839718
015,ATHOL,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
016,ATTLEBORO,2019,5058847,8286379,9173893,616743,65557094,3099233,4482213,3116112,7819966,5492424,0,3144985,115847889
017,AUBURN,2019,3508138,4675080,3352981,263189,27296281,4332227,823276,897276,4401512,684949,541272,6330343,57106524
018,AVON,2019,1864272,2434208,1429270,470108,9324692,2221989,319042,491815,4554958,337906,0,1721235,25169495
019,AYER,2019,2333562,2507363,1711041,177989,12351435,1408552,351303,759302,3264012,97094,0,1112422,26074075
020,BARNSTABLE,2019,12229545,14435712,0,2174289,75815213,6321282,1942548,4077854,21596909,4738750,0,9970663,153302765
021,BARRE,2019,889577,846549,267743,731909,5856537,791425,128293,336474,856774,21493,0,595393,11322167
022,BECKET,2019,825288,414510,28486,184807,2431589,956542,93987,82101,733770,10976,0,222973,5985029
023,BEDFORD,2019,6281704,3989494,2533385,507926,41781479,9068595,1258421,1547381,11569296,4005422,0,8049294,90592397
024,BELCHERTOWN,2019,2944553,2236974,1721535,270149,26590910,1964294,815939,798323,8562474,1464348,72415,2421449,49863363
025,BELLINGHAM,2019,2884635,3479663,3041879,462147,29216271,2272480,497828,936845,3549691,1861924,0,5503423,53706786
026,BELMONT,2019,8923717,7006411,5623612,550924,50138431,6324537,828031,3254686,8547462,1836276,19900,4655051,97709038
027,BERKLEY,2019,620873,1205664,209842,837627,12804563,1104225,62465,144123,1095686,219603,149827,1466800,19921298
028,BERLIN,2019,1087532,1101953,977737,329055,6740490,847423,70619,154962,1606746,65629,71696,235221,13289063
029,BERNARDSTON,2019,364084,292300,102153,21398,3409632,738859,101330,82611,232855,57755,12719,0,5415696
030,BEVERLY,2019,5872776,7802103,6502166,1009449,59969424,4801678,1642925,3446661,11480929,1657290,0,10847899,115033300
031,BILLERICA,2019,6040532,8596917,8491322,2380763,75128613,8000981,1124016,2872556,16319926,5001747,0,7878081,141835454
032,BLACKSTONE,2019,1961448,1794838,1129809,462260,10458678,2203884,427536,672194,1491092,43844,16112,1140641,21802336
033,BLANDFORD,2019,626424,28607,50561,55693,1660146,575504,32640,68900,201846,4549,0,99040,3403910
034,BOLTON,2019,1172977,1296811,402698,727653,15286512,1681366,174353,465785,1065983,9739,0,5227083,27510960
035,BOSTON,2019,162381368,414006559,263905720,60967071,1001804124,107864489,130608365,70021514,315765895,279485184,0,182470769,2989281058
036,BOURNE,2019,3560609,4244313,4609667,1582468,25771801,2440382,979578,887189,6344332,4613980,1062265,5966655,62063239
037,BOXBOROUGH,2019,1013204,1671209,919651,101999,11594433,1016735,144169,393459,1830425,72420,0,1135061,19892765
038,BOXFORD,2019,1961230,1297432,696115,715007,23127193,2273263,336137,469935,2397903,178189,0,916667,34369071
039,BOYLSTON,2019,918524,1404029,596961,227963,9442575,994881,126524,268455,1845597,76937,0,405125,16307571
040,BRAINTREE,2019,8211355,11191945,9263292,777806,70246599,8263446,899190,2480344,10635493,4113515,56640,4636474,130776099
041,BREWSTER,2019,2360122,2820663,2049418,900000,19200005,2146083,758994,866053,6002069,627701,377766,2118148,40227022
