DOR Code,LEA Code,Municipality,County,Cherry Sheet FY,Population,DOR Income,DOR Income Per Capita,EQV,EQV Per Capita
001,1,ABINGTON,PLYMOUTH,2021,16516.0,5.97856E8,36199.0,2.103633E9,127369.0
002,2,ACTON,MIDDLESEX,2021,23738.0,1.569766E9,66129.0,4.5979292E9,193695.0
003,3,ACUSHNET,BRISTOL,2021,10580.0,3.37691E8,31918.0,1.2140981E9,114754.0
004,4,ADAMS,BERKSHIRE,2021,8077.0,1.9188E8,23756.0,5.258268E8,65102.0
005,5,AGAWAM,HAMPDEN,2021,28854.0,8.5072E8,29484.0,3.0675199E9,106312.0
006,6,ALFORD,BERKSHIRE,2021,491.0,1.814E7,36945.0,2.798203E8,569899.0
007,7,AMESBURY,ESSEX,2021,17569.0,6.75197E8,38431.0,2.2735567E9,129407.0
008,8,AMHERST,HAMPSHIRE,2021,39503.0,7.72086E8,19545.0,2.5169748E9,63716.0
009,9,ANDOVER,ESSEX,2021,36403.0,3.006243E9,82582.0,8.4532112E9,232212.0
010,10,ARLINGTON,MIDDLESEX,2021,45624.0,2.783875E9,61018.0,1.06141465E10,232644.0
011,11,ASHBURNHAM,WORCESTER,2021,6346.0,2.27762E8,35891.0,6.408113E8,100979.0
012,12,ASHBY,MIDDLESEX,2021,3234.0,1.07391E8,33207.0,3.193982E8,98763.0
013,13,ASHFIELD,FRANKLIN,2021,1734.0,4.8226E7,27812.0,2.484668E8,143291.0
014,14,ASHLAND,MIDDLESEX,2021,17739.0,8.97367E8,50587.0,2.80978E9,158396.0
015,15,ATHOL,WORCESTER,2021,11753.0,2.39184E8,20351.0,7.306477E8,62167.0
016,16,ATTLEBORO,BRISTOL,2021,45117.0,1.476322E9,32722.0,4.7108043E9,104413.0
017,17,AUBURN,WORCESTER,2021,16782.0,5.77559E8,34415.0,2.1759909E9,129662.0
018,18,AVON,NORFOLK,2021,4519.0,1.59994E8,35405.0,8.558609E8,189392.0
019,19,AYER,MIDDLESEX,2021,8164.0,2.81209E8,34445.0,1.2193049E9,149351.0
020,20,BARNSTABLE,BARNSTABLE,2021,44460.0,1.838787E9,41358.0,1.49320446E10,335853.0
021,21,BARRE,WORCESTER,2021,5592.0,1.41187E8,25248.0,4.583723E8,81969.0
