DOR Code,Municipality,Year,Registered Democrat,Registered Republican,All Other Registered Voters,Total Registered Voters
001,ABINGTON,2012.0,3012.0,1213.0,6617.0,10842.0
001,ABINGTON,2010.0,3022.0,1156.0,6275.0,10453.0
001,ABINGTON,2008.0,3097.0,1149.0,6100.0,10346.0
001,ABINGTON,2006.0,3018.0,1146.0,5777.0,9941.0
001,ABINGTON,2004.0,3031.0,1202.0,5852.0,10085.0
001,ABINGTON,2002.0,2801.0,1094.0,5578.0,9473.0
002,ACTON,2012.0,4040.0,1594.0,8714.0,14348.0
002,ACTON,2010.0,3881.0,1587.0,8278.0,13746.0
002,ACTON,2008.0,3886.0,1693.0,8437.0,14016.0
002,ACTON,2006.0,3385.0,1630.0,7335.0,12350.0
002,ACTON,2004.0,3365.0,1714.0,7508.0,12587.0
002,ACTON,2002.0,2842.0,1738.0,7453.0,12033.0
003,ACUSHNET,2012.0,2587.0,562.0,4295.0,7444.0
003,ACUSHNET,2010.0,2748.0,541.0,4184.0,7473.0
003,ACUSHNET,2008.0,2991.0,557.0,4350.0,7898.0
003,ACUSHNET,2006.0,2950.0,557.0,4085.0,7592.0
003,ACUSHNET,2004.0,3005.0,560.0,3917.0,7482.0
003,ACUSHNET,2002.0,2797.0,498.0,3647.0,6942.0
004,ADAMS,2012.0,2134.0,432.0,3370.0,5936.0
004,ADAMS,2010.0,2171.0,429.0,3380.0,5980.0
004,ADAMS,2008.0,2207.0,482.0,3387.0,6076.0
004,ADAMS,2006.0,2202.0,479.0,3264.0,5945.0
004,ADAMS,2004.0,2278.0,497.0,3279.0,6054.0
004,ADAMS,2002.0,2166.0,568.0,3179.0,5913.0
005,AGAWAM,2012.0,6214.0,3314.0,11702.0,21230.0
005,AGAWAM,2010.0,6247.0,3240.0,11380.0,20867.0
005,AGAWAM,2008.0,6259.0,3161.0,10849.0,20269.0
005,AGAWAM,2006.0,6440.0,3384.0,11090.0,20914.0
005,AGAWAM,2004.0,6530.0,3331.0,10620.0,20481.0
005,AGAWAM,2002.0,6174.0,3038.0,10000.0,19212.0
006,ALFORD,2012.0,143.0,32.0,196.0,371.0
006,ALFORD,2010.0,154.0,36.0,201.0,391.0
006,ALFORD,2008.0,149.0,43.0,208.0,400.0
006,ALFORD,2006.0,127.0,54.0,200.0,381.0
006,ALFORD,2004.0,111.0,56.0,204.0,371.0
