TOWN,TOWN_ID,POP1980,POP1990,POP2000,POPCH80_90,POPCH90_00,TYPE,FOURCOLOR,FIPS_STCO,SUM_ACRES,SUM_SQUARE,POP2010,POPCH00_10,SHAPE_Leng,SHAPE_Area,Chief Municipal Offiical,Policy Board,Policy Board Member Count,Legislative Body,Legislative Body Member Count,Wardless City,Town w/City Form of Government,Town/City,Notes,Home Rule 43B Adoption Year,Optional Plan of City Government,DOR Code,Fiscal Year,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernmental Assessments,Other Expenditures,Debt Service,Total Expenditures
WELLESLEY,317,26658,26615,26604,-43,-11,T,2,25021,6749.852,10.547,27982,1378,26738.5943686,27269576.387,Executive Director,Selectmen,5,Representative Town Meeting,,false,false,Town,,,,317,2019,14877603,6425190,5565866,647245,75717428,9170021,1372282,2973495,24948511,1262764,79326,16704655,159744386
NEEDHAM,199,27310,27557,28924,247,1367,T,4,25021,8130.187,12.703,28886,-38,28960.0128249,32947766.8198,Town Manager,Selectmen,5,Representative Town Meeting,,false,false,Town,,,,199,2019,8315446,6630729,8053946,2386779,78619687,5486429,1747253,2485696,29149912,1389486,556798,9996903,154819064
PETERSHAM,234,997,1131,1180,134,49,T,3,25027,43675.599,68.243,1234,54,73405.7066295,176748924.117,Administrative Coordinator,Select Board,3,Open Town Meeting,,false,false,Town,,,,234,2019,288557,235350,81727,20801,2320349,409279,44935,52011,380875,72036,2678,152555,4061153
READING,246,22545,22539,23708,-6,1169,T,3,25017,6393.727,9.99,24747,1039,23126.4713027,25874497.0427,Town Manager,Select Board,5,Representative Town Meeting,,false,false,Town,,1986,,246,2019,6016699,6041337,5238394,186104,47701011,5481588,606862,2481219,17401913,759218,26182,4478865,96419392
QUINCY,243,83682,84985,88025,1303,3040,C,3,25021,11080.397,17.313,92271,4246,87188.9342746,44840777.0498,Mayor,,,Council,9,false,false,City,,,A,243,2019,17803172,30693076,24657672,5325619,104017693,18441952,3217431,6971268,79420708,3932620,9307,19022709,313513227
CHESTERFIELD,60,1157,1048,1201,-109,153,T,2,25015,19996.249,31.244,1222,21,42557.3961167,80921923.0904,Town Administrator,Selectmen,3,Open Town Meeting,,false,false,Town,,,,060,2019,562069,69850,39204,97000,1966295,607517,58560,30029,199711,8675,0,156491,3795401
SOUTHBOROUGH,277,6405,6628,8781,223,2153,T,1,25027,9934.954,15.523,9767,986,27678.8005301,40205358.4962,Town Administrator,Selectmen,5,Open Town Meeting,,false,false,Town,,,,277,2019,3039971,2093397,2427767,191094,29029391,3297113,669529,650369,7544427,135569,267230,3355745,52701602
MILFORD,185,24115,25359,26799,1244,1440,T,3,25027,9614.793,15.023,27999,1200,28283.5758761,38909665.2671,Town Administrator,Selectmen,3,Representative Town Meeting,,false,false,Town,,,,185,2019,4867353,6779557,4246479,1230678,51091648,6079076,886073,2124466,17166383,1789802,0,5134286,101395801
BOYLSTON,39,3412,3517,4083,105,566,T,3,25027,12639.985,19.75,4355,272,30445.5078621,51152172.7767,Town Administrator,Selectmen,3,Open Town Meeting,,false,false,Town,,,,039,2019,918524,1404029,596961,227963,9442575,994881,126524,268455,1845597,76937,0,405125,16307571
PLAINVILLE,238,6173,6871,7683,698,812,T,2,25021,7357.832,11.497,8264,581,23823.9325694,29776042.2377,Town Administrator,Selectmen,3,Open Town Meeting,,false,false,Town,,,,238,2019,1535689,2398456,2595881,1245076,16964951,2327344,457858,301794,4699054,1057468,0,3334915,36918486
NEW BEDFORD,201,97738,99922,93768,2184,-6154,C,2,25005,12978.713,20.279,95072,1304,53467.7027246,52522965.3551,Mayor,,,Council,11,false,false,City,,,B,201,2019,22307936,25552623,18610601,4247830,142617314,11054372,4870590,4838366,29078535,19063095,0,11825635,294066897
MARBLEHEAD,168,19755,19971,20377,216,406,T,4,25009,2798.917,4.374,19808,-569,28931.4075481,11293625.833,Town Administrator,Selectmen,5,Open Town Meeting,,false,false,Town,,,,168,2019,2399378,4265038,3888886,529340,39860882,5084798,666454,2059878,14633420,2995396,0,6734427,83117897
LONGMEADOW,159,16213,15467,15633,-746,166,T,2,25013,6140.561,9.595,15784,151,19827.9859619,24849962.8951,Town Manager,Select Board,5,Open Town Meeting,,false,false,Town,,2004,,159,2019,3861068,2962007,2418061,43691,34459358,2784325,654961,1218865,4245204,331010,481500,4805490,58265540
GRANVILLE,112,1298,1403,1521,105,118,T,4,25013,27592.743,43.113,1566,45,43645.0857766,111663887.564,Town Administrator,Select Board,3,Open Town Meeting,,false,false,Town,,,,112,2019,385923,187395,189917,83899,1860670,826666,11056,46809,190619,3784,0,120258,3906996
WEBSTER,316,14795,16196,16415,1401,219,T,3,25027,9341.608,14.596,16767,352,26033.4284511,37804130.9817,Town Administrator,Selectmen,5,Open Town Meeting,,false,false,Town,,1987,,316,2019,2113745,3191268,755031,448588,24014984,1505522,469958,425183,4301082,1367435,0,2871594,41464390
SOUTHBRIDGE,278,16629,17816,17214,1187,-602,TC,4,25027,13350.23,20.86,16719,-495,35822.368583,54026424.1603,Town Manager,,,Council,9,false,true,City,,1974,,278,2019,2754263,3809120,2339506,134641,27696570,2198029,866233,542592,8061150,2538369,17800,2484319,53442592
SALISBURY,259,6745,6882,7827,137,945,T,4,25009,10113.036,15.802,8283,456,57740.2672366,40926012.8804,Town Manager,Selectmen,5,Open Town Meeting,,false,false,Town,,1988,,259,2019,1834460,3110911,1878553,284556,12813355,1582238,483213,443749,3073748,146264,0,1379012,27030059
AMHERST,8,32804,35228,34874,2424,-354,T,4,25015,17762.606,27.754,37819,2945,40766.3448474,71882639.8808,Town Manager,Select Board,5,Representative Town Meeting,,false,true,Town,"Amherst voted in 2018 to change from a town manager and representative town meeting form of government to a city form of government with a town manager and 13-member town council, effective Dec. 3, 2018.",,,008,2019,4187653,5061464,4668604,1387821,39552600,1923807,685174,3467782,9487397,3314503,0,1869898,75606703
